,movies,year,rating,genre,votes,gross
478,District 9,2009,7.9,Action,623094,115.65
479,The Wrestler,2008,7.9,Drama,283517,26.24
480,Jab We Met,2007,7.9,Comedy,44896,0.41
481,Boyhood,2014,7.9,Drama,326287,25.38
482,"4 luni, 3 saptamâni si 2 zile",2007,7.9,Drama,54422,1.19
483,Star Trek,2009,7.9,Action,567360,257.73
484,In Bruges,2008,7.9,Comedy,377731,7.76
485,The Man from Earth,2007,7.9,Drama,167214,NA
486,Letters from Iwo Jima,2006,7.9,Action,150253,13.76
487,The Fall,2006,7.9,Adventure,104450,2.28
488,Life of Pi,2012,7.9,Adventure,560304,124.99
489,Fantastic Mr. Fox,2009,7.9,Animation,187533,21.00
490,C.R.A.Z.Y.,2005,7.9,Comedy,30801,NA
491,Les choristes,2004,7.9,Drama,55109,3.64
492,Iron Man,2008,7.9,Action,906876,318.41
493,Shaun of the Dead,2004,7.9,Comedy,494234,13.54
494,Gegen die Wand,2004,7.9,Drama,49035,NA
495,Mystic River,2003,7.9,Crime,404472,90.14
496,Harry Potter and the Prisoner of Azkaban,2004,7.9,Adventure,520272,249.36
497,Ying xiong,2002,7.9,Action,170263,53.71
498,Hable con ella,2002,7.9,Drama,101082,9.28
499,No Man's Land,2001,7.9,Comedy,43346,1.06
500,Cowboy Bebop: Tengoku no tobira,2001,7.9,Animation,41126,1.00
501,The Bourne Identity,2002,7.9,Action,491789,121.66
502,Nueve reinas,2000,7.9,Crime,47815,1.22
503,Children of Men,2006,7.9,Drama,446349,35.55
504,Almost Famous,2000,7.9,Adventure,243045,32.53
505,Toy Story 2,1999,7.9,Animation,505427,245.85
506,Boogie Nights,1997,7.9,Drama,229256,26.40
507,Breaking the Waves,1996,7.9,Drama,59967,4.04
508,Mimi wo sumaseba,1995,7.9,Animation,45133,NA
509,Once Were Warriors,1994,7.9,Crime,30420,2.20
510,True Romance,1993,7.9,Crime,198243,12.28
511,Trois couleurs: Bleu,1993,7.9,Drama,83425,1.32
512,Jûbê ninpûchô,1993,7.9,Animation,33154,NA
513,Carlito's Way,1993,7.9,Crime,192849,36.95
514,Edward Scissorhands,1990,7.9,Drama,430954,56.36
515,My Left Foot: The Story of Christy Brown,1989,7.9,Biography,64476,14.74
516,Do the Right Thing,1989,7.9,Comedy,80381,27.55
517,Crimes and Misdemeanors,1989,7.9,Comedy,52573,18.25
518,The Untouchables,1987,7.9,Crime,267468,76.27
519,Hannah and Her Sisters,1986,7.9,Comedy,64437,40.08
520,The Breakfast Club,1985,7.9,Comedy,335476,45.88
521,Brazil,1985,7.9,Drama,181516,9.93
522,This Is Spinal Tap,1984,7.9,Comedy,124521,0.19
523,The Blues Brothers,1980,7.9,Adventure,174707,57.23
524,Manhattan,1979,7.9,Comedy,126829,45.70
525,All That Jazz,1979,7.9,Drama,26244,37.82
526,Days of Heaven,1978,7.9,Drama,49275,NA
527,Dawn of the Dead,1978,7.9,Horror,107533,5.10
528,The Outlaw Josey Wales,1976,7.9,Western,62820,31.80
529,La montaña sagrada,1973,7.9,Adventure,34216,0.06
530,Amarcord,1973,7.9,Comedy,37770,NA
531,Le charme discret de la bourgeoisie,1972,7.9,Comedy,35927,0.20
532,"Aguirre, der Zorn Gottes",1972,7.9,Action,49525,NA
533,Harold and Maude,1971,7.9,Comedy,68167,NA
534,Patton,1970,7.9,Biography,91107,61.70
535,The Wild Bunch,1969,7.9,Action,74801,12.06
536,Night of the Living Dead,1968,7.9,Horror,110885,0.09
537,The Lion in Winter,1968,7.9,Biography,27982,22.28
538,In the Heat of the Night,1967,7.9,Crime,64066,24.38
539,Charade,1963,7.9,Comedy,64061,13.47
540,The Manchurian Candidate,1962,7.9,Drama,69365,NA
541,Spartacus,1960,7.9,Adventure,119323,30.00
542,À bout de souffle,1960,7.9,Crime,69019,0.34
543,Hiroshima mon amour,1959,7.9,Drama,26543,0.09
544,The Searchers,1956,7.9,Adventure,76660,NA
545,East of Eden,1955,7.9,Drama,38564,NA
546,High Noon,1952,7.9,Drama,94002,9.45
547,Harvey,1950,7.9,Comedy,51361,NA
548,Miracle on 34th Street,1947,7.9,Comedy,38671,2.65
549,Notorious,1946,7.9,Drama,88554,10.46
550,The Big Sleep,1946,7.9,Crime,76304,6.54
551,The Lost Weekend,1945,7.9,Drama,32073,9.46
552,The Philadelphia Story,1940,7.9,Comedy,60847,NA
553,His Girl Friday,1940,7.9,Comedy,50936,0.30
554,Stagecoach,1939,7.9,Adventure,40838,NA
555,Bringing Up Baby,1938,7.9,Comedy,52855,NA
556,The Adventures of Robin Hood,1938,7.9,Action,45498,3.98
557,A Night at the Opera,1935,7.9,Comedy,29546,NA
558,King Kong,1933,7.9,Adventure,76303,10.00
559,Freaks,1932,7.9,Drama,40295,NA
560,Nosferatu,1922,7.9,Fantasy,84906,NA
561,The Salesman,2016,7.8,Drama,46463,2.40
562,Perfetti sconosciuti,2016,7.8,Comedy,52000,NA
563,Hidden Figures,2016,7.8,Biography,186633,169.61
564,Paddington 2,2017,7.8,Adventure,55366,40.44
565,Udta Punjab,2016,7.8,Action,25021,NA
566,Kubo and the Two Strings,2016,7.8,Animation,112576,48.02
567,Manchester by the Sea,2016,7.8,Drama,231777,47.70
568,Under sandet,2015,7.8,Drama,31724,0.44
569,Rogue One,2016,7.8,Action,526322,532.18
570,Captain America: Civil War,2016,7.8,Action,629590,408.08
571,The Hateful Eight,2015,7.8,Crime,485008,54.12
572,Loving Vincent,2017,7.8,Animation,45951,6.74
573,Pride,2014,7.8,Biography,49197,NA
574,Le passé,2013,7.8,Drama,43056,1.33
575,La grande bellezza,2013,7.8,Drama,76804,2.85
576,Dabba,2013,7.8,Drama,45184,4.23
577,Vicky Donor,2012,7.8,Comedy,37620,0.17
578,Big Hero 6,2014,7.8,Animation,393384,222.53
579,About Time,2013,7.8,Comedy,283178,15.32
580,English Vinglish,2012,7.8,Comedy,31890,1.67
581,The Broken Circle Breakdown,2012,7.8,Drama,37955,0.18
582,Kaze tachinu,2013,7.8,Animation,66522,5.21
583,Toy Story 4,2019,7.8,Animation,174989,434.04
584,La migliore offerta,2013,7.8,Crime,102428,0.09
585,Moonrise Kingdom,2012,7.8,Comedy,305396,45.51
586,How to Train Your Dragon 2,2014,7.8,Animation,293489,177.00
587,The Big Short,2015,7.8,Biography,337266,70.26
588,Kokuhaku,2010,7.8,Drama,33975,NA
589,Ang-ma-reul bo-at-da,2010,7.8,Action,102193,0.13
590,The Girl with the Dragon Tattoo,2011,7.8,Crime,404619,102.52
591,Captain Phillips,2013,7.8,Biography,404950,107.10
592,Ajeossi,2010,7.8,Action,59010,0.01
593,Madeo,2009,7.8,Crime,45235,0.55
594,The Hobbit: The Desolation of Smaug,2013,7.8,Adventure,584005,258.37
595,Das weiße Band - Eine deutsche Kindergeschichte,2009,7.8,Drama,65846,2.22
596,Män som hatar kvinnor,2009,7.8,Crime,203812,10.10
597,The Fighter,2010,7.8,Biography,328834,93.62
598,Taken,2008,7.8,Action,552292,145.00
599,The Boy in the Striped Pyjamas,2008,7.8,Drama,181703,9.03
600,Once,2007,7.8,Drama,107819,9.44
601,The Hobbit: An Unexpected Journey,2012,7.8,Adventure,738655,303.00
602,Auf der anderen Seite,2007,7.8,Drama,29807,0.74
603,Toki o kakeru shôjo,2006,7.8,Animation,56810,NA
604,Atonement,2007,7.8,Drama,238670,50.93
605,Drive,2011,7.8,Crime,548025,35.06
606,American Gangster,2007,7.8,Biography,379051,130.16
607,Avatar,2009,7.8,Action,1087574,760.51
608,Mr. Nobody,2009,7.8,Drama,207541,0.00
609,Apocalypto,2006,7.8,Action,280234,50.87
610,Little Miss Sunshine,2006,7.8,Comedy,425013,59.89
611,Hot Fuzz,2007,7.8,Action,445595,23.64
612,The Curious Case of Benjamin Button,2008,7.8,Drama,564385,127.51
613,Veer-Zaara,2004,7.8,Drama,46863,2.92
614,Adams æbler,2005,7.8,Comedy,43704,0.00
615,Pride & Prejudice,2005,7.8,Drama,241915,38.41
616,The World's Fastest Indian,2005,7.8,Biography,50495,5.13
617,Tôkyô goddofâzâzu,2003,7.8,Animation,28714,0.13
618,Serenity,2005,7.8,Action,277146,25.51
619,Crash,2004,7.8,Crime,410822,54.58
620,Walk the Line,2005,7.8,Biography,225796,119.52
621,Ondskan,2003,7.8,Drama,34656,0.02
622,The Notebook,2004,7.8,Drama,498119,81.00
623,Diarios de motocicleta,2004,7.8,Adventure,94083,16.76
624,Lilja 4-ever,2002,7.8,Crime,41201,0.18
625,Les triplettes de Belleville,2003,7.8,Animation,49357,7.00
626,The Count of Monte Cristo,2002,7.8,Action,124963,54.23
627,Waking Life,2001,7.8,Animation,59011,2.89
628,Remember the Titans,2000,7.8,Biography,190936,115.65
629,Wo hu cang long,2000,7.8,Action,246753,128.08
630,Todo sobre mi madre,1999,7.8,Drama,85193,8.26
631,Cast Away,2000,7.8,Adventure,499207,233.63
632,The Boondock Saints,1999,7.8,Action,222415,0.03
633,The Insider,1999,7.8,Biography,154737,28.97
634,October Sky,1999,7.8,Biography,78492,32.48
635,Shrek,2001,7.8,Animation,590677,267.67
636,Abre los ojos,1997,7.8,Drama,61809,0.37
637,Titanic,1997,7.8,Drama,1004829,659.33
638,Hana-bi,1997,7.8,Crime,26181,0.23
639,Gattaca,1997,7.8,Drama,271337,12.34
640,The Game,1997,7.8,Action,329932,48.32
641,Ed Wood,1994,7.8,Biography,161324,5.89
642,What's Eating Gilbert Grape,1993,7.8,Drama,206170,9.17
643,Tombstone,1993,7.8,Action,120277,56.51
644,The Sandlot,1993,7.8,Comedy,75263,32.42
645,The Remains of the Day,1993,7.8,Drama,61957,22.95
646,Naked,1993,7.8,Comedy,32267,1.77
647,The Fugitive,1993,7.8,Action,256467,183.88
648,A Bronx Tale,1993,7.8,Crime,122474,17.27
649,Batman: Mask of the Phantasm,1993,7.8,Animation,40736,5.62
650,Lat sau san taam,1992,7.8,Action,45108,NA
651,Night on Earth,1991,7.8,Comedy,52807,2.02
652,La double vie de Véronique,1991,7.8,Drama,39112,2.00
653,Misery,1990,7.8,Drama,174675,61.28
654,Miller's Crossing,1990,7.8,Crime,122049,5.08
655,Awakenings,1990,7.8,Biography,117890,52.10
656,Majo no takkyûbin,1989,7.8,Animation,111883,NA
657,Glory,1989,7.8,Biography,116502,26.83
658,Dip huet seung hung,1989,7.8,Action,44374,NA
659,Back to the Future Part II,1989,7.8,Adventure,454033,118.50
660,Mississippi Burning,1988,7.8,Crime,83153,34.60
661,Predator,1987,7.8,Action,358872,59.74
662,Evil Dead II,1987,7.8,Comedy,142311,5.92
663,Ferris Bueller's Day Off,1986,7.8,Comedy,305087,70.14
664,Down by Law,1986,7.8,Comedy,45830,1.44
665,Blue Velvet,1986,7.8,Drama,171942,8.55
666,The Goonies,1985,7.8,Adventure,230261,61.50
667,The Color Purple,1985,7.8,Drama,74569,98.47
668,The Killing Fields,1984,7.8,Biography,49515,34.70
669,Ghostbusters,1984,7.8,Action,341055,238.63
670,The Right Stuff,1983,7.8,Adventure,54181,21.50
671,The King of Comedy,1982,7.8,Comedy,80521,2.50
672,E.T. the Extra-Terrestrial,1982,7.8,Family,355034,435.11
673,Kramer vs. Kramer,1979,7.8,Drama,126069,106.26
674,Halloween,1978,7.8,Horror,218309,47.00
675,The Man Who Would Be King,1975,7.8,Adventure,42437,NA
676,The Conversation,1974,7.8,Drama,92438,4.42
677,The Day of the Jackal,1973,7.8,Crime,35782,16.06
678,Badlands,1973,7.8,Crime,62213,NA
679,Cabaret,1972,7.8,Drama,46142,42.77
680,Willy Wonka & the Chocolate Factory,1971,7.8,Family,169986,4.00
681,Midnight Cowboy,1969,7.8,Drama,96285,44.79
682,Wait Until Dark,1967,7.8,Thriller,26560,17.55
683,Guess Who's Coming to Dinner,1967,7.8,Comedy,37245,56.70
684,The Dirty Dozen,1967,7.8,Action,64466,45.30
685,Bonnie and Clyde,1967,7.8,Action,98428,NA
686,My Fair Lady,1964,7.8,Drama,83275,72.00
687,Mary Poppins,1964,7.8,Comedy,151406,102.27
688,The Longest Day,1962,7.8,Action,50667,39.10
689,Jules et Jim,1962,7.8,Drama,35491,NA
690,The Innocents,1961,7.8,Horror,25216,2.62
691,The Ten Commandments,1956,7.8,Adventure,61132,93.74
692,The Quiet Man,1952,7.8,Comedy,33235,10.55
693,Red River,1948,7.8,Action,26796,NA
694,Key Largo,1948,7.8,Action,35605,NA
695,To Have and Have Not,1944,7.8,Adventure,29552,NA
696,Shadow of a Doubt,1943,7.8,Thriller,56576,NA
697,Fantasia,1940,7.8,Animation,85232,76.41
698,The Lady Vanishes,1938,7.8,Mystery,44979,NA
699,The Bride of Frankenstein,1935,7.8,Drama,41293,4.36
700,Duck Soup,1933,7.8,Comedy,53940,NA
701,Frankenstein,1931,7.8,Drama,61953,NA
702,Once Upon a Time... in Hollywood,2019,7.7,Comedy,446400,142.50
703,Roma,2018,7.7,Drama,128400,NA
704,Deadpool 2,2018,7.7,Action,445482,324.59
705,Wind River,2017,7.7,Crime,187825,33.80
706,Get Out,2017,7.7,Horror,455234,176.04
707,Mission: Impossible - Fallout,2018,7.7,Action,269193,220.16
708,En man som heter Ove,2015,7.7,Comedy,43184,3.36
709,What We Do in the Shadows,2014,7.7,Comedy,142960,3.33
710,Omoide no Mânî,2014,7.7,Animation,27939,0.77
711,The Theory of Everything,2014,7.7,Biography,382182,35.89
712,Kingsman: The Secret Service,2014,7.7,Action,570248,128.26
713,The Fault in Our Stars,2014,7.7,Drama,330444,124.87
714,Me and Earl and the Dying Girl,2015,7.7,Comedy,118263,6.74
715,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,Comedy,553916,42.34
716,La vie d'Adèle,2013,7.7,Drama,131936,2.20
717,Captain America: The Winter Soldier,2014,7.7,Action,706159,259.77
718,Nebraska,2013,7.7,Adventure,109003,17.65
719,Wreck-It Ralph,2012,7.7,Animation,364948,189.42
720,Le Petit Prince,2015,7.7,Animation,53478,1.34
721,Detachment,2011,7.7,Drama,73075,0.07
722,Midnight in Paris,2011,7.7,Comedy,371693,56.82
723,A Star Is Born,2018,7.7,Drama,305319,215.29
724,The Lego Movie,2014,7.7,Animation,315530,257.76
725,Gravity,2013,7.7,Drama,743634,274.09
726,Star Trek Into Darkness,2013,7.7,Action,454781,228.78
727,Beasts of No Nation,2015,7.7,Drama,69140,0.08
728,The Social Network,2010,7.7,Biography,595921,96.96
729,X: First Class,2011,7.7,Action,629849,146.41
730,The Hangover,2009,7.7,Comedy,696012,277.32
731,Skyfall,2012,7.7,Action,613066,304.36
732,Silver Linings Playbook,2012,7.7,Comedy,642280,132.09
733,Argo,2012,7.7,Biography,555601,136.03
734,(500) Days of Summer,2009,7.7,Comedy,457422,32.39
735,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,Adventure,452075,295.98
736,Gake no ue no Ponyo,2008,7.7,Animation,115087,15.09
737,Frost/Nixon,2008,7.7,Biography,99669,18.59
738,Papurika,2006,7.7,Animation,65928,0.88
739,Changeling,2008,7.7,Biography,229536,35.74
740,Flipped,2010,7.7,Comedy,78146,1.75
741,Death Note: Desu nôto,2006,7.7,Crime,27798,NA
742,This Is England,2006,7.7,Crime,112930,0.33
743,Ex Machina,2014,7.7,Drama,450873,25.44
744,Efter brylluppet,2006,7.7,Drama,30725,0.41
745,The Last King of Scotland,2006,7.7,Biography,170679,17.61
746,Zodiac,2007,7.7,Crime,427092,33.08
747,Lucky Number Slevin,2006,7.7,Crime,294296,22.49
748,Joyeux Noël,2005,7.7,Drama,26788,1.05
749,Control,2007,7.7,Biography,59761,0.87
750,Tangled,2010,7.7,Animation,388504,200.82
751,Zwartboek,2006,7.7,Drama,70460,4.40
752,Brokeback Mountain,2005,7.7,Drama,311981,83.04
753,3:10 to Yuma,2007,7.7,Action,279465,53.61
754,Kung fu,2004,7.7,Action,122130,17.11
755,The Bourne Supremacy,2004,7.7,Action,421266,176.24
756,The Machinist,2004,7.7,Drama,344550,1.08
757,Ray,2004,7.7,Biography,133480,75.33
758,Lost in Translation,2003,7.7,Drama,393803,44.59
759,Harry Potter and the Goblet of Fire,2005,7.7,Adventure,518208,290.01
760,Man on Fire,2004,7.7,Action,319049,77.91
761,Coraline,2009,7.7,Animation,186798,75.29
762,The Last Samurai,2003,7.7,Action,385205,111.11
763,The Magdalene Sisters,2002,7.7,Drama,25278,4.89
764,21 Grams,2003,7.7,Crime,218734,16.25
765,Finding Neverland,2004,7.7,Biography,194604,51.68
766,Good Bye Lenin!,2003,7.7,Comedy,133598,4.06
767,In America,2002,7.7,Drama,39699,15.54
768,I Am Sam,2001,7.7,Drama,139596,40.31
769,Adaptation.,2002,7.7,Comedy,170925,22.25
770,Black Hawk Down,2001,7.7,Drama,352953,108.64
771,Road to Perdition,2002,7.7,Crime,238152,104.45
772,Das Experiment,2001,7.7,Drama,89110,0.14
773,Billy Elliot,2000,7.7,Drama,121440,22.00
774,Hedwig and the Angry Inch,2001,7.7,Comedy,30896,3.03
775,Ocean's Eleven,2001,7.7,Crime,494725,183.42
776,Vampire Hunter D: Bloodlust,2000,7.7,Animation,28011,0.15
777,"O Brother, Where Art Thou?",2000,7.7,Adventure,274393,45.51
778,Interstate 60: Episodes of the Road,2002,7.7,Adventure,28787,NA
779,"South Park: Bigger, Longer & Uncut",1999,7.7,Animation,187914,52.01
780,Office Space,1999,7.7,Comedy,234549,10.82
781,Happiness,1998,7.7,Comedy,64462,2.81
782,Training Day,2001,7.7,Crime,373295,76.63
783,Rushmore,1998,7.7,Comedy,163119,17.11
784,Being John Malkovich,1999,7.7,Comedy,298288,22.86
785,As Good as It Gets,1997,7.7,Comedy,265362,148.48
786,The Fifth Element,1997,7.7,Action,418969,63.54
787,Le dîner de cons,1998,7.7,Comedy,35856,4.07
788,Donnie Brasco,1997,7.7,Biography,265896,41.91
789,Shine,1996,7.7,Biography,49904,35.81
790,Primal Fear,1996,7.7,Crime,174827,56.12
791,Hamlet,1996,7.7,Drama,35123,4.41
792,A Little Princess,1995,7.7,Drama,30869,10.02
793,Trois couleurs: Blanc,1994,7.7,Comedy,59599,1.46
794,Il postino,1994,7.7,Biography,32067,21.85
795,Clerks,1994,7.7,Comedy,207205,3.15
796,Short Cuts,1993,7.7,Comedy,40946,6.11
797,Philadelphia,1993,7.7,Drama,215443,77.32
798,The Muppet Christmas Carol,1992,7.7,Comedy,45873,27.28
799,Malcolm X,1992,7.7,Biography,79730,48.17
800,The Last of the Mohicans,1992,7.7,Action,142608,75.51
801,Kurenai no buta,1992,7.7,Animation,70272,NA
802,Glengarry Glen Ross,1992,7.7,Crime,92030,10.73
803,A Few Good Men,1992,7.7,Drama,224669,141.34
804,Fried Green Tomatoes,1991,7.7,Drama,64109,82.42
805,Boyz n the Hood,1991,7.7,Crime,118561,57.50
806,Barton Fink,1991,7.7,Comedy,108690,6.15
807,Who Framed Roger Rabbit,1988,7.7,Animation,175505,156.45
808,Spoorloos,1988,7.7,Mystery,31605,NA
809,Withnail & I,1987,7.7,Comedy,38352,1.54
810,The Last Emperor,1987,7.7,Biography,89629,43.98
811,Empire of the Sun,1987,7.7,Action,110713,22.24
812,Der Name der Rose,1986,7.7,Crime,97897,7.15
813,The Purple Rose of Cairo,1985,7.7,Comedy,45147,10.63
814,After Hours,1985,7.7,Comedy,54487,10.60
815,Zelig,1983,7.7,Comedy,38525,11.80
816,The Verdict,1982,7.7,Drama,34060,54.00
817,Star Trek II: The Wrath of Khan,1982,7.7,Action,109059,78.91
818,First Blood,1982,7.7,Action,217169,47.21
819,Ordinary People,1980,7.7,Drama,44593,54.80
820,Airplane!,1980,7.7,Comedy,201438,83.40
821,Le locataire,1976,7.7,Drama,37185,1.92
822,Love and Death,1975,7.7,Comedy,34497,NA
823,The Taking of Pelham One Two Three,1974,7.7,Action,25095,NA
824,Blazing Saddles,1974,7.7,Comedy,120901,119.50
825,Serpico,1973,7.7,Biography,103357,29.80
826,Enter the Dragon,1973,7.7,Action,92593,25.00
827,Deliverance,1972,7.7,Adventure,94915,NA
828,Giù la testa,1971,7.7,Drama,28232,NA
829,The French Connection,1971,7.7,Action,104745,15.63
830,Dirty Harry,1971,7.7,Action,137981,35.90
831,Where Eagles Dare,1968,7.7,Action,49629,NA
832,The Odd Couple,1968,7.7,Comedy,30307,44.53
833,Belle de jour,1967,7.7,Drama,37984,0.03
834,A Man for All Seasons,1966,7.7,Biography,29784,28.35
835,Repulsion,1965,7.7,Drama,46404,NA
836,Zulu,1964,7.7,Drama,34511,NA
837,Goldfinger,1964,7.7,Action,165992,51.08
838,The Birds,1963,7.7,Drama,163292,11.40
839,Breakfast at Tiffany's,1961,7.7,Comedy,159231,NA
840,Peeping Tom,1960,7.7,Drama,28869,0.08
841,The Magnificent Seven,1960,7.7,Action,84328,4.91
842,Les yeux sans visage,1960,7.7,Drama,25035,0.05
843,Invasion of the Body Snatchers,1956,7.7,Drama,42966,NA
844,Rebel Without a Cause,1955,7.7,Drama,79923,NA
845,The Ladykillers,1955,7.7,Comedy,25123,NA
846,Sabrina,1954,7.7,Comedy,56260,NA
847,The Day the Earth Stood Still,1951,7.7,Drama,74534,NA
848,The African Queen,1951,7.7,Adventure,69027,0.54
849,Gilda,1946,7.7,Drama,26353,NA
850,Lifeboat,1944,7.7,Drama,25340,NA
851,The 39 Steps,1935,7.7,Film-Noir,49186,NA
852,The Invisible Man,1933,7.7,Horror,28422,NA
853,The Farewell,2019,7.6,Comedy,36961,16.88
854,The Two Popes,2019,7.6,Comedy,88372,NA
855,The Lighthouse,2019,7.6,Drama,95712,0.43
856,Searching,2018,7.6,Drama,123193,26.02
857,Zimna wojna,2018,7.6,Drama,43029,4.57
858,Nelyubov,2017,7.6,Drama,26835,0.57
859,The Florida Project,2017,7.6,Drama,83878,5.90
860,The Favourite,2018,7.6,Biography,155228,34.37
861,Gifted,2017,7.6,Drama,91413,24.80
862,The Peanut Butter Falcon,2019,7.6,Adventure,39417,13.12
863,Victoria,2015,7.6,Crime,48729,NA
864,Mustang,2015,7.6,Drama,33500,0.85
865,Guardians of the Galaxy Vol. 2,2017,7.6,Action,534565,389.81
866,Baby Driver,2017,7.6,Action,406774,107.83
867,Only the Brave,2017,7.6,Action,52563,18.34
868,Bridge of Spies,2015,7.6,Drama,275694,72.31
869,Incredibles 2,2018,7.6,Animation,231188,608.58
870,Moana,2016,7.6,Animation,249772,248.76
871,Sicario,2015,7.6,Action,351018,46.89
872,Creed,2015,7.6,Drama,237573,109.77
873,Leviafan,2014,7.6,Crime,46511,1.09
874,Hell or High Water,2016,7.6,Action,191894,26.86
875,Philomena,2013,7.6,Biography,91450,37.71
876,Dawn of the Planet of the Apes,2014,7.6,Action,402033,208.55
877,El cuerpo,2012,7.6,Mystery,51436,NA
878,Serbuan maut,2011,7.6,Action,183423,4.11
879,End of Watch,2012,7.6,Action,220576,41.00
880,Lo imposible,2012,7.6,Drama,188449,19.02
881,Kari-gurashi no Arietti,2010,7.6,Animation,74194,19.20
882,127 Hours,2010,7.6,Biography,337125,18.34
883,True Grit,2010,7.6,Drama,297897,171.24
884,Hævnen,2010,7.6,Drama,37502,1.01
885,Despicable Me,2010,7.6,Animation,483992,251.51
886,Rise of the Planet of the Apes,2011,7.6,Action,485559,176.76
887,50/50,2011,7.6,Comedy,308711,35.01
888,Kick-Ass,2010,7.6,Action,512743,48.07
889,Celda 211,2009,7.6,Action,61844,NA
890,Moneyball,2011,7.6,Biography,345203,75.61
891,La piel que habito,2011,7.6,Drama,131475,3.19
892,Zombieland,2009,7.6,Adventure,502010,75.59
893,Boy A,2007,7.6,Drama,36205,0.11
894,Die Welle,2008,7.6,Drama,99006,NA
895,Sherlock Holmes,2009,7.6,Action,566829,209.03
896,Byôsoku 5 senchimêtoru,2007,7.6,Animation,47554,NA
897,The Reader,2008,7.6,Drama,224528,34.19
898,The Hurt Locker,2008,7.6,Drama,408021,17.02
899,The Blind Side,2009,7.6,Biography,280122,255.96
900,The Visitor,2007,7.6,Drama,40836,9.42
901,Superbad,2007,7.6,Comedy,503766,121.46
902,Seven Pounds,2008,7.6,Drama,278770,69.95
903,Eastern Promises,2007,7.6,Action,220934,17.11
904,Stardust,2007,7.6,Adventure,246382,38.63
905,The Secret of Kells,2009,7.6,Animation,29769,0.69
906,Inside Man,2006,7.6,Crime,324886,88.51
907,Gone Baby Gone,2007,7.6,Crime,242107,20.30
908,Chinjeolhan geumjassi,2005,7.6,Crime,68450,0.21
909,La Vie En Rose,2007,7.6,Biography,80167,10.30
910,Huo Yuan Jia,2006,7.6,Action,71359,24.63
911,The Illusionist,2006,7.6,Drama,346455,39.87
912,Volver,2006,7.6,Comedy,91597,12.90
913,Thank You for Smoking,2005,7.6,Comedy,209622,24.79
914,Dead Man's Shoes,2004,7.6,Crime,47874,0.01
915,Harry Potter and the Half-Blood Prince,2009,7.6,Action,446489,301.96
916,300,2006,7.6,Action,714263,210.61
917,Match Point,2005,7.6,Drama,199442,23.09
918,Watchmen,2009,7.6,Action,483112,107.51
919,Lord of War,2005,7.6,Action,286353,24.15
920,Saw,2004,7.6,Horror,366465,56.00
921,"Synecdoche, New York",2008,7.6,Comedy,77246,3.08
922,Mysterious Skin,2004,7.6,Drama,64125,0.70
923,Jeux d'enfants,2003,7.6,Comedy,65554,0.55
924,Un long dimanche de fiançailles,2004,7.6,Drama,69576,6.17
925,The Station Agent,2003,7.6,Comedy,65826,5.74
926,Love Actually,2003,7.6,Comedy,410685,59.70
927,Boksuneun naui geot,2002,7.6,Action,59543,0.05
928,25th Hour,2002,7.6,Drama,165953,13.06
929,The Life of David Gale,2003,7.6,Crime,105142,19.59
930,The Butterfly Effect,2004,7.6,Drama,437720,57.94
931,28 Days Later...,2002,7.6,Drama,363464,45.06
932,Batoru rowaiaru,2000,7.6,Adventure,164032,NA
933,The Royal Tenenbaums,2001,7.6,Comedy,256375,52.36
934,Y tu mamá también,2001,7.6,Drama,111476,13.62
935,Harry Potter and the Sorcerer's Stone,2001,7.6,Adventure,606861,317.58
936,The Others,2001,7.6,Horror,325474,96.52
937,Blow,2001,7.6,Biography,232835,52.99
938,Enemy at the Gates,2001,7.6,Drama,234272,51.40
939,Traffic,2000,7.6,Crime,190831,124.12
940,Minority Report,2002,7.6,Action,489680,132.07
941,The Hurricane,1999,7.6,Biography,88909,50.67
942,American Psycho,2000,7.6,Comedy,460671,15.07
943,Lola rennt,1998,7.6,Crime,183719,7.27
944,The Thin Red Line,1998,7.6,Drama,166556,36.40
945,Mulan,1998,7.6,Animation,238609,120.62
946,Fear and Loathing in Las Vegas,1998,7.6,Adventure,250787,10.68
947,Funny Games,1997,7.6,Crime,60656,NA
948,Dark City,1998,7.6,Mystery,182492,14.38
949,Sleepers,1996,7.6,Crime,181250,49.10
950,Lost Highway,1997,7.6,Mystery,124721,3.80
951,Sense and Sensibility,1995,7.6,Drama,97385,43.18
952,Die Hard: With a Vengeance,1995,7.6,Action,352666,100.01
953,Dead Man,1995,7.6,Adventure,87131,1.04
954,The Bridges of Madison County,1995,7.6,Drama,69218,71.52
955,Apollo 13,1995,7.6,Adventure,257173,173.84
956,Interview with the Vampire: The Vampire Chronicles,1994,7.6,Drama,284962,105.26
957,The Crow,1994,7.6,Action,161092,50.69
958,Gettysburg,1993,7.6,Drama,25265,10.77
959,Falling Down,1993,7.6,Crime,162843,40.90
960,Dazed and Confused,1993,7.6,Comedy,156789,7.99
961,My Cousin Vinny,1992,7.6,Comedy,101464,52.93
962,Delicatessen,1991,7.6,Comedy,77984,1.79
963,The Hunt for Red October,1990,7.6,Action,171503,122.01
964,Home Alone,1990,7.6,Comedy,444495,285.76
965,The Godfather: Part III,1990,7.6,Crime,342305,66.67
966,When Harry Met Sally...,1989,7.6,Comedy,186452,92.82
