,movies,year,rating,genre,votes,gross
109,The Sting,1973,8.3,Comedy,231571,159.60
110,A Clockwork Orange,1971,8.3,Crime,726389,NA
111,2001: A Space Odyssey,1968,8.3,Adventure,574620,56.95
112,Per qualche dollaro in più,1965,8.3,Western,220077,15.00
113,Lawrence of Arabia,1962,8.3,Adventure,255659,44.82
114,The Apartment,1960,8.3,Comedy,154438,18.60
115,North by Northwest,1959,8.3,Adventure,285446,13.28
116,Vertigo,1958,8.3,Mystery,341909,3.20
117,Singin' in the Rain,1952,8.3,Comedy,208293,8.82
118,Ikiru,1952,8.3,Drama,62954,0.06
119,Ladri di biciclette,1948,8.3,Drama,136989,0.33
120,Double Indemnity,1944,8.3,Crime,135941,5.72
121,Citizen Kane,1941,8.3,Drama,381159,1.59
122,M - Eine Stadt sucht einen Mörder,1931,8.3,Crime,135770,0.03
123,Metropolis,1927,8.3,Drama,152619,1.24
124,The Kid,1921,8.3,Comedy,105521,5.45
125,Portrait de la jeune fille en feu,2019,8.2,Drama,32548,NA
126,K.G.F: Chapter 1,2018,8.2,Action,29357,NA
127,Green Book,2018,8.2,Biography,314278,85.08
128,Koe no katachi,2016,8.2,Animation,35790,NA
129,"Three Billboards Outside Ebbing, Missouri",2017,8.2,Comedy,394171,54.51
130,Talvar,2015,8.2,Crime,27936,0.34
131,Baahubali 2: The Conclusion,2017,8.2,Action,70318,20.19
132,Klaus,2019,8.2,Animation,66137,NA
133,Drishyam,2015,8.2,Crime,61895,0.74
134,Queen,2013,8.2,Adventure,57733,1.43
135,Mandariinid,2013,8.2,Drama,35855,0.14
136,Kis Uykusu,2014,8.2,Drama,41592,0.17
137,Gully Boy,2019,8.2,Drama,26367,5.57
138,Bhaag milkha bhaag,2013,8.2,Biography,57717,1.63
139,Inside Out,2015,8.2,Animation,577562,356.46
140,Gangs of Wasseypur,2012,8.2,Action,74647,NA
141,Paan Singh Tomar,2012,8.2,Action,30608,0.04
142,El secreto de sus ojos,2009,8.2,Drama,183030,6.39
143,Warrior,2011,8.2,Drama,420335,13.66
144,Up,2009,8.2,Animation,894319,293.00
145,The Wolf of Wall Street,2013,8.2,Biography,1108661,116.90
146,Chak De! India,2007,8.2,Drama,70116,1.11
147,There Will Be Blood,2007,8.2,Drama,490700,40.22
148,Pan's Labyrinth,2006,8.2,Drama,596931,37.63
149,V for Vendetta,2005,8.2,Action,991819,70.51
150,Rang De Basanti,2006,8.2,Comedy,105917,2.20
151,Black,2005,8.2,Drama,32261,0.73
152,Batman Begins,2005,8.2,Action,1255272,206.85
153,"Swades: We, the People",2004,8.2,Drama,78703,1.22
154,Der Untergang,2004,8.2,Biography,318937,5.51
155,Hauru no ugoku shiro,2004,8.2,Animation,305282,4.71
156,A Beautiful Mind,2001,8.2,Biography,812112,170.74
157,Hera Pheri,2000,8.2,Action,52075,NA
158,"Lock, Stock and Two Smoking Barrels",1998,8.2,Comedy,515338,3.90
159,L.A. Confidential,1997,8.2,Crime,513174,64.62
160,Heat,1995,8.2,Crime,550534,67.44
161,Casino,1995,8.2,Crime,440962,42.44
162,Andaz Apna Apna,1994,8.2,Action,47289,NA
163,Unforgiven,1992,8.2,Drama,359163,101.16
164,Indiana Jones and the Last Crusade,1989,8.2,Action,664803,197.17
165,Tonari no Totoro,1988,8.2,Animation,265964,1.11
166,Die Hard,1988,8.2,Action,755926,83.01
167,Ran,1985,8.2,Action,105400,3.52
168,Raging Bull,1980,8.2,Biography,306905,23.38
169,Stalker,1979,8.2,Drama,107452,0.23
170,The Message,1976,8.2,Biography,41842,NA
171,Sholay,1975,8.2,Action,49087,NA
172,Monty Python and the Holy Grail,1975,8.2,Adventure,483315,1.23
173,Chinatown,1974,8.2,Drama,280192,29.20
174,Andrei Rublev,1966,8.2,Biography,42945,0.10
175,The Great Escape,1963,8.2,Adventure,214987,12.10
176,To Kill a Mockingbird,1962,8.2,Crime,284097,NA
177,Yôjinbô,1961,8.2,Action,104309,NA
178,Judgment at Nuremberg,1961,8.2,Drama,65583,NA
179,Some Like It Hot,1959,8.2,Comedy,232952,25.00
180,Smultronstället,1957,8.2,Drama,89920,NA
181,Det sjunde inseglet,1957,8.2,Drama,154179,NA
182,Dial M for Murder,1954,8.2,Crime,148973,0.01
183,Tôkyô monogatari,1953,8.2,Drama,48087,NA
184,Rashômon,1950,8.2,Crime,144005,0.10
185,All About Eve,1950,8.2,Drama,114988,0.01
186,The Treasure of the Sierra Madre,1948,8.2,Adventure,108837,5.01
187,The Gold Rush,1925,8.2,Adventure,94691,5.45
188,Sherlock Jr.,1924,8.2,Action,37483,0.98
189,Pink,2016,8.1,Drama,35686,1.24
190,Contratiempo,2016,8.1,Crime,113403,NA
191,Ah-ga-ssi,2016,8.1,Drama,97000,2.01
192,Mommy,2014,8.1,Drama,46793,3.49
193,Haider,2014,8.1,Action,47902,0.90
194,Logan,2017,8.1,Action,610763,226.28
195,Room,2015,8.1,Drama,345055,14.68
196,Relatos salvajes,2014,8.1,Comedy,164243,3.11
197,Bãhubali: The Beginning,2015,8.1,Action,97781,6.74
198,PK,2014,8.1,Comedy,151180,10.62
199,OMG: Oh My God!,2012,8.1,Comedy,47881,0.92
200,The Grand Budapest Hotel,2014,8.1,Adventure,671836,59.10
201,Gone Girl,2014,8.1,Drama,812246,167.77
202,Ookami kodomo no Ame to Yuki,2012,8.1,Animation,35556,NA
203,Hacksaw Ridge,2016,8.1,Biography,404015,67.21
204,Barfi!,2012,8.1,Comedy,72154,2.80
205,12 Years a Slave,2013,8.1,Biography,610905,56.67
206,Rush,2013,8.1,Biography,414103,26.95
207,Ford v. Ferrari,2019,8.1,Action,202747,117.62
208,Spotlight,2015,8.1,Biography,394595,45.06
209,Song of the Sea,2014,8.1,Animation,47639,0.86
210,Kahaani,2012,8.1,Mystery,54684,1.04
211,Udaan,2010,8.1,Drama,40457,0.01
212,Zindagi Na Milegi Dobara,2011,8.1,Comedy,63171,3.11
213,The Help,2011,8.1,Drama,409592,169.71
214,Prisoners,2013,8.1,Crime,564764,61.00
215,Mad Max: Fury Road,2015,8.1,Action,833632,154.06
